ID,Substance              ,Formula,MW      ,h0     ,Cp0   ,c0   ,c1    ,c2    ,c3   ,u0      ,u1     ,u2      ,k0      ,k1     ,k2      ,O2 ,SO2,CO2,H2O,N2      
0 ,Carbon                 ,C      ,12.0110 ,0      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,1   , 0 ,1 ,0  ,3.773269
1 ,Hydrogen               ,H2     ,2.01590 ,0      ,14.209,13.46,4.6   ,-6.85 ,3.79 ,-       ,-      ,-       ,-       ,-      ,-       ,.5  , 0 ,0 ,1  ,1.886634
2 ,Oxygen                 ,O2     ,31.9988 ,0      ,.922  ,.88  ,-.0001,.54   ,-.33 ,8.45e-03,4.72e-5,-6.56e-9,7.33e-03,7.08e-5,-6.61e-9,-1  , 0 ,0 ,0  ,0       
3 ,Nitrogen               ,N2     ,28.0134 ,0      ,1.042 ,1.11 ,-.48  ,.96   ,-.42 ,7.84e-03,3.87e-5,-5.11e-9,9.52e-03,6.20e-5,-6.22e-9,0   , 0 ,0 ,0  ,1       
4 ,Nitrogen (atm)         ,N2a    ,28.1580 ,0      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,0   , 0 ,0 ,0  ,1       
5 ,Carbon Monoxide        ,CO     ,28.0104 ,-110527,1.041 ,1.1  ,-.46  ,1     ,-.454,-       ,-      ,-       ,-       ,-      ,-       ,.5  , 0 ,1 ,0  ,1.886634
6 ,Carbon Dioxide         ,CO2    ,44.0098 ,-393522,.842  ,.45  ,1.67  ,-1.27 ,.39  , 3.31e-3,4.45e-5,-6.69e-9,-9.58e-3,9.18e-5,-1.14e-8,0   , 0 ,1 ,0  ,0       
7 ,Methane                ,CH4    ,16.0428 ,-74873 ,2.254 ,1.2  ,3.25  ,.75   ,-0.71,-       ,-      ,-       ,-       ,-      ,-       ,2   , 0 ,1 ,2  ,7.546539
8 ,Ethane                 ,C2H6   ,30.0697 ,-84740 ,1.766 ,.18  ,5.92  ,-2.31 ,.29  ,-       ,-      ,-       ,-       ,-      ,-       ,3.5 , 0 ,2 ,3  ,13.20644
9 ,Propane                ,C3H8   ,44.0966 ,-103900,1.679 ,-.096,6.95  ,-3.6  ,.73  ,-       ,-      ,-       ,-       ,-      ,-       ,5   , 0 ,3 ,4  ,18.86634
10,n-Butane               ,C4H10  ,58.1235 ,-126200,1.716 ,.163 ,5.7   ,-1.906,-.049,-       ,-      ,-       ,-       ,-      ,-       ,6.5 , 0 ,4 ,5  ,24.52625
11,Isobutane              ,iC4H10 ,58.1235 ,-135000,1.547 ,.206 ,5.67  ,-2.12 ,.183 ,-       ,-      ,-       ,-       ,-      ,-       ,6.5 , 0 ,4 ,5  ,24.52625
12,n-Pentane              ,C5H12  ,72.1504 ,-      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,8   , 0 ,5 ,6  ,30.18615
13,Isopentane             ,iC5H12 ,72.1504 ,-      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,8   , 0 ,5 ,6  ,30.18615
14,Neopentane             ,nC5H12 ,72.1504 ,-      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,8   , 0 ,5 ,6  ,30.18615
15,n-Hexane               ,C6H14  ,86.1773 ,-      ,-     ,-    ,-     ,-     ,-    ,-       ,-      ,-       ,-       ,-      ,-       ,9.5 , 0 ,6 ,7  ,35.84606
16,Ethylene               ,C2H4   ,28.0538 ,52467  ,1.548 ,.136 ,5.58  ,-3    ,.63  ,-       ,-      ,-       ,-       ,-      ,-       ,3   , 0 ,2 ,2  ,11.31980
17,Propylene              ,C3H6   ,42.0807 ,20410  ,1.437 ,.454 ,4.06  ,-.934 ,-.133,-       ,-      ,-       ,-       ,-      ,-       ,4.5 , 0 ,3 ,3  ,16.97971
